kode_barang,nama,merk,tipe,harga
BRG-001,"Kabel UTP Cat 6",Belden,Indoor,1200000.00
PRD-366,"KABEL JUMPER",ISO,SA,2000000.00
SKU-9CPHNFID,"Mesin Bor Listrik Bosch GSB 550 Pro",Bosch,"GSB 550",500000.00
SKU-HL1WOEPZ,"Gerinda Tangan Makita GA4030",Makita,GA4030,600000.00
SKU-AAE2DZIH,"Set Kunci Pas Tekiro 8-24mm",Tekiro,8-24mm,250000.00
SKU-VHURNAT3,"Tang Kombinasi Krisbow 7 Inch",Krisbow,"7 Inch",80000.00
SKU-L8Q3IZXQ,"Multimeter Digital Sanwa CD800a",Sanwa,CD800a,450000.00
SKU-AUEP5FFO,"Meteran Laser Bosch GLM 40",Bosch,"GLM 40",800000.00
SKU-SLDENRLA,"Kabel Eterna NYM 2x1.5mm 50m",Eterna,NYM,350000.00
SKU-GYGUHSLZ,"Stop Kontak Broco 4 Lubang + Kabel",Broco,"4 Lubang",90000.00
SKU-6AXKM6TW,"Lampu LED Philips MyCare 12W",Philips,LED,50000.00
SKU-SHKHAYQA,"Lampu Sorot LED Hanochs 50W",Hanochs,Sorot,150000.00
SKU-R5UCSBQY,"Kompresor Angin Lakoni Imola 75",Lakoni,"Imola 75",1200000.00
SKU-LUIY3SJS,"Mesin Las Inverter Rhino MMA-120",Rhino,MMA-120,850000.00
SKU-VNV5LIY3,"Smart Switch Wifi Tuya 1 Channel",Tuya,"Smart Switch",100000.00
SKU-YD4SQUN1,"Lampu LED Philips Essential 18W Putih",Philips,Essential,65000.00
SKU-RHAOTUPD,"Kabel Eterna NYA 1x1.5mm 100 Meter",Eterna,NYA,250000.00
SKU-NVQBFM2M,"Tang Potong Tekiro 6 Inch",Tekiro,"6 Inch",65000.00
SKU-J0KHEGDC,"MCB Schneider Electric Domae 1 Phase 16A",Schneider,MCB,80000.00
